team_id,sport,name,abbrev,conference,division,external_ids,venue_name,venue_lat,venue_lon,timezone
nfl-min,NFL,Minnesota Vikings,MIN,NFC,North,"{""espn"":16}",U.S. Bank Stadium,44.9738,-93.2577,America/Chicago
nfl-atl,NFL,Atlanta Falcons,ATL,NFC,South,"{""espn"":1}",Mercedes-Benz Stadium,33.7554,-84.4009,America/New_York
nfl-car,NFL,Carolina Panthers,CAR,NFC,South,"{""espn"":29}",Bank of America Stadium,35.2258,-80.8528,America/New_York
nfl-no,NFL,New Orleans Saints,NO,NFC,South,"{""espn"":18}",Caesars Superdome,29.9511,-90.0812,America/Chicago
nfl-tb,NFL,Tampa Bay Buccaneers,TB,NFC,South,"{""espn"":27}",Raymond James Stadium,27.9759,-82.5033,America/New_York
nfl-ari,NFL,Arizona Cardinals,ARI,NFC,West,"{""espn"":22}",State Farm Stadium,33.5276,-112.2626,America/Phoenix
nfl-lar,NFL,Los Angeles Rams,LAR,NFC,West,"{""espn"":14}",SoFi Stadium,33.9535,-118.3392,America/Los_Angeles
nfl-sf,NFL,San Francisco 49ers,SF,NFC,West,"{""espn"":25}",Levi's Stadium,37.4032,-121.9698,America/Los_Angeles
nfl-sea,NFL,Seattle Seahawks,SEA,NFC,West,"{""espn"":26}",Lumen Field,47.5952,-122.3316,America/Los_Angeles
nba-bos,NBA,Boston Celtics,BOS,Eastern,Atlantic,"{""nba"":1610612738}",TD Garden,42.3662,-71.0621,America/New_York
nba-bkn,NBA,Brooklyn Nets,BKN,Eastern,Atlantic,"{""nba"":1610612751}",Barclays Center,40.6826,-73.9754,America/New_York
nba-nyk,NBA,New York Knicks,NYK,Eastern,Atlantic,"{""nba"":1610612752}",Madison Square Garden,40.7505,-73.9934,America/New_York
nba-phi,NBA,Philadelphia 76ers,PHI,Eastern,Atlantic,"{""nba"":1610612755}",Xfinity Mobile Arena,39.9012,-75.1720,America/New_York
nba-tor,NBA,Toronto Raptors,TOR,Eastern,Atlantic,"{""nba"":1610612761}",Scotiabank Arena,43.6435,-79.3791,America/Toronto
nba-chi,NBA,Chicago Bulls,CHI,Eastern,Central,"{""nba"":1610612741}",United Center,41.8807,-87.6742,America/Chicago
nba-cle,NBA,Cleveland Cavaliers,CLE,Eastern,Central,"{""nba"":1610612739}",Rocket Arena,41.4965,-81.6882,America/New_York
nba-det,NBA,Detroit Pistons,DET,Eastern,Central,"{""nba"":1610612765}",Little Caesars Arena,42.3410,-83.0552,America/Detroit
nba-ind,NBA,Indiana Pacers,IND,Eastern,Central,"{""nba"":1610612754}",Gainbridge Fieldhouse,39.7640,-86.1555,America/Indiana/Indianapolis
nba-mil,NBA,Milwaukee Bucks,MIL,Eastern,Central,"{""nba"":1610612749}",Fiserv Forum,43.0451,-87.9172,America/Chicago
nba-atl,NBA,Atlanta Hawks,ATL,Eastern,Southeast,"{""nba"":1610612737}",State Farm Arena,33.7573,-84.3963,America/New_York
nba-cha,NBA,Charlotte Hornets,CHA,Eastern,Southeast,"{""nba"":1610612766}",Spectrum Center,35.2251,-80.8392,America/New_York
nba-mia,NBA,Miami Heat,MIA,Eastern,Southeast,"{""nba"":1610612748}",Kaseya Center,25.7814,-80.1870,America/New_York
nba-orl,NBA,Orlando Magic,ORL,Eastern,Southeast,"{""nba"":1610612753}",Kia Center,28.5392,-81.3839,America/New_York
nba-was,NBA,Washington Wizards,WAS,Eastern,Southeast,"{""nba"":1610612764}",Capital One Arena,38.8981,-77.0209,America/New_York
nba-den,NBA,Denver Nuggets,DEN,Western,Northwest,"{""nba"":1610612743}",Ball Arena,39.7487,-105.0077,America/Denver
nba-min,NBA,Minnesota Timberwolves,MIN,Western,Northwest,"{""nba"":1610612750}",Target Center,44.9795,-93.2760,America/Chicago
nba-okc,NBA,Oklahoma City Thunder,OKC,Western,Northwest,"{""nba"":1610612760}",Paycom Center,35.4634,-97.5151,America/Chicago
nba-por,NBA,Portland Trail Blazers,POR,Western,Northwest,"{""nba"":1610612757}",Moda Center,45.5316,-122.6668,America/Los_Angeles
nba-uta,NBA,Utah Jazz,UTA,Western,Northwest,"{""nba"":1610612762}",Delta Center,40.7683,-111.9011,America/Denver
nba-gsw,NBA,Golden State Warriors,GSW,Western,Pacific,"{""nba"":1610612744}",Chase Center,37.7680,-122.3877,America/Los_Angeles
nba-lac,NBA,LA Clippers,LAC,Western,Pacific,"{""nba"":1610612746}",Intuit Dome,33.9447,-118.3416,America/Los_Angeles
nba-lal,NBA,Los Angeles Lakers,LAL,Western,Pacific,"{""nba"":1610612747}",Crypto.com Arena,34.0430,-118.2673,America/Los_Angeles
nba-phx,NBA,Phoenix Suns,PHX,Western,Pacific,"{""nba"":1610612756}",Mortgage Matchup Center,33.4457,-112.0712,America/Phoenix
nba-sac,NBA,Sacramento Kings,SAC,Western,Pacific,"{""nba"":1610612758}",Golden 1 Center,38.5802,-121.4997,America/Los_Angeles
nba-dal,NBA,Dallas Mavericks,DAL,Western,Southwest,"{""nba"":1610612742}",American Airlines Center,32.7905,-96.8103,America/Chicago
nba-hou,NBA,Houston Rockets,HOU,Western,Southwest,"{""nba"":1610612745}",Toyota Center,29.7508,-95.3621,America/Chicago
nba-mem,NBA,Memphis Grizzlies,MEM,Western,Southwest,"{""nba"":1610612763}",FedExForum,35.1382,-90.0506,America/Chicago
nba-nop,NBA,New Orleans Pelicans,NOP,Western,Southwest,"{""nba"":1610612740}",Smoothie King Center,29.9490,-90.0821,America/Chicago
nba-sas,NBA,San Antonio Spurs,SAS,Western,Southwest,"{""nba"":1610612759}",Frost Bank Center,29.4270,-98.4375,America/Chicago
mlb-bal,MLB,Baltimore Orioles,BAL,AL,East,"{""mlb"":110}",Oriole Park at Camden Yards,39.2839,-76.6217,America/New_York
mlb-bos,MLB,Boston Red Sox,BOS,AL,East,"{""mlb"":111}",Fenway Park,42.3467,-71.0972,America/New_York
mlb-nyy,MLB,New York Yankees,NYY,AL,East,"{""mlb"":147}",Yankee Stadium,40.8296,-73.9262,America/New_York
mlb-tb,MLB,Tampa Bay Rays,TB,AL,East,"{""mlb"":139}",Tropicana Field,27.7683,-82.6534,America/New_York
mlb-tor,MLB,Toronto Blue Jays,TOR,AL,East,"{""mlb"":141}",Rogers Centre,43.6414,-79.3894,America/Toronto
mlb-cws,MLB,Chicago White Sox,CWS,AL,Central,"{""mlb"":145}",Rate Field,41.8299,-87.6338,America/Chicago
mlb-cle,MLB,Cleveland Guardians,CLE,AL,Central,"{""mlb"":114}",Progressive Field,41.4962,-81.6852,America/New_York
mlb-det,MLB,Detroit Tigers,DET,AL,Central,"{""mlb"":116}",Comerica Park,42.3390,-83.0485,America/Detroit
mlb-kc,MLB,Kansas City Royals,KC,AL,Central,"{""mlb"":118}",Kauffman Stadium,39.0517,-94.4803,America/Chicago
mlb-min,MLB,Minnesota Twins,MIN,AL,Central,"{""mlb"":142}",Target Field,44.9817,-93.2776,America/Chicago
mlb-ath,MLB,Athletics,ATH,AL,West,"{""mlb"":133}",Sutter Health Park,38.5804,-121.5133,America/Los_Angeles
mlb-hou,MLB,Houston Astros,HOU,AL,West,"{""mlb"":117}",Daikin Park,29.7573,-95.3555,America/Chicago
mlb-laa,MLB,Los Angeles Angels,LAA,AL,West,"{""mlb"":108}",Angel Stadium,33.8003,-117.8827,America/Los_Angeles
mlb-sea,MLB,Seattle Mariners,SEA,AL,West,"{""mlb"":136}",T-Mobile Park,47.5914,-122.3325,America/Los_Angeles
mlb-tex,MLB,Texas Rangers,TEX,AL,West,"{""mlb"":140}",Globe Life Field,32.7473,-97.0842,America/Chicago
mlb-atl,MLB,Atlanta Braves,ATL,NL,East,"{""mlb"":144}",Truist Park,33.8907,-84.4677,America/New_York
mlb-mia,MLB,Miami Marlins,MIA,NL,East,"{""mlb"":146}",loanDepot park,25.7781,-80.2196,America/New_York
mlb-nym,MLB,New York Mets,NYM,NL,East,"{""mlb"":121}",Citi Field,40.7571,-73.8458,America/New_York
mlb-phi,MLB,Philadelphia Phillies,PHI,NL,East,"{""mlb"":143}",Citizens Bank Park,39.9061,-75.1665,America/New_York
mlb-wsh,MLB,Washington Nationals,WSH,NL,East,"{""mlb"":120}",Nationals Park,38.8730,-77.0074,America/New_York
mlb-chc,MLB,Chicago Cubs,CHC,NL,Central,"{""mlb"":112}",Wrigley Field,41.9484,-87.6553,America/Chicago
mlb-cin,MLB,Cincinnati Reds,CIN,NL,Central,"{""mlb"":113}",Great American Ball Park,39.0975,-84.5066,America/New_York
mlb-mil,MLB,Milwaukee Brewers,MIL,NL,Central,"{""mlb"":158}",American Family Field,43.0280,-87.9712,America/Chicago
mlb-pit,MLB,Pittsburgh Pirates,PIT,NL,Central,"{""mlb"":134}",PNC Park,40.4469,-80.0057,America/New_York
mlb-stl,MLB,St. Louis Cardinals,STL,NL,Central,"{""mlb"":138}",Busch Stadium,38.6226,-90.1928,America/Chicago
mlb-ari,MLB,Arizona Diamondbacks,ARI,NL,West,"{""mlb"":109}",Chase Field,33.4453,-112.0667,America/Phoenix
mlb-col,MLB,Colorado Rockies,COL,NL,West,"{""mlb"":115}",Coors Field,39.7559,-104.9942,America/Denver
mlb-lad,MLB,Los Angeles Dodgers,LAD,NL,West,"{""mlb"":119}",Dodger Stadium,34.0739,-118.2400,America/Los_Angeles
mlb-sd,MLB,San Diego Padres,SD,NL,West,"{""mlb"":135}",Petco Park,32.7073,-117.1566,America/Los_Angeles
mlb-sf,MLB,San Francisco Giants,SF,NL,West,"{""mlb"":137}",Oracle Park,37.7786,-122.3893,America/Los_Angeles
nhl-bos,NHL,Boston Bruins,BOS,Eastern,Atlantic,"{""nhl"":6}",TD Garden,42.3662,-71.0621,America/New_York
nhl-buf,NHL,Buffalo Sabres,BUF,Eastern,Atlantic,"{""nhl"":7}",KeyBank Center,42.8750,-78.8765,America/New_York
nhl-det,NHL,Detroit Red Wings,DET,Eastern,Atlantic,"{""nhl"":17}",Little Caesars Arena,42.3410,-83.0552,America/Detroit
nhl-fla,NHL,Florida Panthers,FLA,Eastern,Atlantic,"{""nhl"":13}",Amerant Bank Arena,26.1585,-80.3255,America/New_York
nhl-mtl,NHL,Montreal Canadiens,MTL,Eastern,Atlantic,"{""nhl"":8}",Bell Centre,45.4961,-73.5693,America/Toronto
nhl-ott,NHL,Ottawa Senators,OTT,Eastern,Atlantic,"{""nhl"":9}",Canadian Tire Centre,45.2969,-75.9273,America/Toronto
nhl-tbl,NHL,Tampa Bay Lightning,TBL,Eastern,Atlantic,"{""nhl"":14}",Amalie Arena,27.9427,-82.4518,America/New_York
nhl-tor,NHL,Toronto Maple Leafs,TOR,Eastern,Atlantic,"{""nhl"":10}",Scotiabank Arena,43.6435,-79.3791,America/Toronto
nhl-car,NHL,Carolina Hurricanes,CAR,Eastern,Metropolitan,"{""nhl"":12}",Lenovo Center,35.8033,-78.7219,America/New_York
nhl-cbj,NHL,Columbus Blue Jackets,CBJ,Eastern,Metropolitan,"{""nhl"":29}",Nationwide Arena,39.9694,-83.0061,America/New_York
nhl-njd,NHL,New Jersey Devils,NJD,Eastern,Metropolitan,"{""nhl"":1}",Prudential Center,40.7336,-74.1711,America/New_York
nhl-nyi,NHL,New York Islanders,NYI,Eastern,Metropolitan,"{""nhl"":2}",UBS Arena,40.7122,-73.7273,America/New_York
nhl-nyr,NHL,New York Rangers,NYR,Eastern,Metropolitan,"{""nhl"":3}",Madison Square Garden,40.7505,-73.9934,America/New_York
nhl-phi,NHL,Philadelphia Flyers,PHI,Eastern,Metropolitan,"{""nhl"":4}",Xfinity Mobile Arena,39.9012,-75.1720,America/New_York
nhl-pit,NHL,Pittsburgh Penguins,PIT,Eastern,Metropolitan,"{""nhl"":5}",PPG Paints Arena,40.4395,-79.9896,America/New_York
nhl-wsh,NHL,Washington Capitals,WSH,Eastern,Metropolitan,"{""nhl"":15}",Capital One Arena,38.8981,-77.0209,America/New_York
nhl-chi,NHL,Chicago Blackhawks,CHI,Western,Central,"{""nhl"":16}",United Center,41.8807,-87.6742,America/Chicago
nhl-col,NHL,Colorado Avalanche,COL,Western,Central,"{""nhl"":21}",Ball Arena,39.7487,-105.0077,America/Denver
nhl-dal,NHL,Dallas Stars,DAL,Western,Central,"{""nhl"":25}",American Airlines Center,32.7905,-96.8103,America/Chicago
nhl-min,NHL,Minnesota Wild,MIN,Western,Central,"{""nhl"":30}",Grand Casino Arena,44.9447,-93.1011,America/Chicago
nhl-nsh,NHL,Nashville Predators,NSH,Western,Central,"{""nhl"":18}",Bridgestone Arena,36.1593,-86.7785,America/Chicago
nhl-stl,NHL,St. Louis Blues,STL,Western,Central,"{""nhl"":19}",Enterprise Center,38.6268,-90.2027,America/Chicago
nhl-uta,NHL,Utah Mammoth,UTA,Western,Central,"{""nhl"":59}",Delta Center,40.7683,-111.9011,America/Denver
nhl-wpg,NHL,Winnipeg Jets,WPG,Western,Central,"{""nhl"":52}",Canada Life Centre,49.8928,-97.1436,America/Winnipeg
nhl-ana,NHL,Anaheim Ducks,ANA,Western,Pacific,"{""nhl"":24}",Honda Center,33.8078,-117.8766,America/Los_Angeles
nhl-cgy,NHL,Calgary Flames,CGY,Western,Pacific,"{""nhl"":20}",Scotiabank Saddledome,51.0374,-114.0519,America/Edmonton
nhl-edm,NHL,Edmonton Oilers,EDM,Western,Pacific,"{""nhl"":22}",Rogers Place,53.5469,-113.4979,America/Edmonton
nhl-lak,NHL,Los Angeles Kings,LAK,Western,Pacific,"{""nhl"":26}",Crypto.com Arena,34.0430,-118.2673,America/Los_Angeles
nhl-sjs,NHL,San Jose Sharks,SJS,Western,Pacific,"{""nhl"":28}",SAP Center,37.3327,-121.9012,America/Los_Angeles
nhl-sea,NHL,Seattle Kraken,SEA,Western,Pacific,"{""nhl"":55}",Climate Pledge Arena,47.6221,-122.3540,America/Los_Angeles
nhl-van,NHL,Vancouver Canucks,VAN,Western,Pacific,"{""nhl"":23}",Rogers Arena,49.2778,-123.1089,America/Vancouver
nhl-vgk,NHL,Vegas Golden Knights,VGK,Western,Pacific,"{""nhl"":54}",T-Mobile Arena,36.1029,-115.1784,America/Los_Angeles
wnba-atl,WNBA,Atlanta Dream,ATL,Eastern,,{},Gateway Center Arena,33.6300,-84.4580,America/New_York
wnba-chi,WNBA,Chicago Sky,CHI,Eastern,,{},Wintrust Arena,41.8531,-87.6190,America/Chicago
wnba-con,WNBA,Connecticut Sun,CON,Eastern,,{},Mohegan Sun Arena,41.4912,-72.0910,America/New_York
wnba-ind,WNBA,Indiana Fever,IND,Eastern,,{},Gainbridge Fieldhouse,39.7640,-86.1555,America/Indiana/Indianapolis
wnba-nyl,WNBA,New York Liberty,NYL,Eastern,,{},Barclays Center,40.6826,-73.9754,America/New_York
wnba-tor,WNBA,Toronto Tempo,TOR,Eastern,,{},Coca-Cola Coliseum,43.6353,-79.4184,America/Toronto
wnba-was,WNBA,Washington Mystics,WAS,Eastern,,{},CareFirst Arena,38.8671,-76.9953,America/New_York
wnba-dal,WNBA,Dallas Wings,DAL,Western,,{},College Park Center,32.7300,-97.1081,America/Chicago
wnba-gsv,WNBA,Golden State Valkyries,GSV,Western,,{},Chase Center,37.7680,-122.3877,America/Los_Angeles
wnba-lva,WNBA,Las Vegas Aces,LVA,Western,,{},Michelob Ultra Arena,36.0919,-115.1761,America/Los_Angeles
wnba-las,WNBA,Los Angeles Sparks,LAS,Western,,{},Crypto.com Arena,34.0430,-118.2673,America/Los_Angeles
wnba-min,WNBA,Minnesota Lynx,MIN,Western,,{},Target Center,44.9795,-93.2760,America/Chicago
wnba-phx,WNBA,Phoenix Mercury,PHX,Western,,{},Mortgage Matchup Center,33.4457,-112.0712,America/Phoenix
wnba-por,WNBA,Portland Fire,POR,Western,,{},Moda Center,45.5316,-122.6668,America/Los_Angeles
wnba-sea,WNBA,Seattle Storm,SEA,Western,,{},Climate Pledge Arena,47.6221,-122.3540,America/Los_Angeles
cfb-alabama,CFB,Alabama Crimson Tide,ALA,SEC,,{},Bryant-Denny Stadium,33.2083,-87.5504,America/Chicago
cfb-arkansas,CFB,Arkansas Razorbacks,ARK,SEC,,{},Donald W. Reynolds Razorback Stadium,36.0680,-94.1789,America/Chicago
cfb-auburn,CFB,Auburn Tigers,AUB,SEC,,{},Jordan-Hare Stadium,32.6025,-85.4890,America/Chicago
cfb-florida,CFB,Florida Gators,FLA,SEC,,{},Ben Hill Griffin Stadium,29.6500,-82.3487,America/New_York
cfb-georgia,CFB,Georgia Bulldogs,UGA,SEC,,{},Sanford Stadium,33.9497,-83.3733,America/New_York
cfb-kentucky,CFB,Kentucky Wildcats,UK,SEC,,{},Kroger Field,38.0220,-84.5053,America/New_York
cfb-lsu,CFB,LSU Tigers,LSU,SEC,,{},Tiger Stadium,30.4118,-91.1836,America/Chicago
cfb-mississippi-state,CFB,Mississippi State Bulldogs,MSST,SEC,,{},Davis Wade Stadium,33.4564,-88.7935,America/Chicago
cfb-missouri,CFB,Missouri Tigers,MIZ,SEC,,{},Faurot Field at Memorial Stadium,38.9360,-92.3331,America/Chicago
cfb-oklahoma,CFB,Oklahoma Sooners,OU,SEC,,{},Gaylord Family Oklahoma Memorial Stadium,35.2059,-97.4422,America/Chicago
cfb-ole-miss,CFB,Ole Miss Rebels,MISS,SEC,,{},Vaught-Hemingway Stadium,34.3620,-89.5340,America/Chicago
cfb-south-carolina,CFB,South Carolina Gamecocks,SCAR,SEC,,{},Williams-Brice Stadium,33.9730,-81.0190,America/New_York
cfb-tennessee,CFB,Tennessee Volunteers,TENN,SEC,,{},Neyland Stadium,35.9550,-83.9250,America/New_York
cfb-texas,CFB,Texas Longhorns,TEX,SEC,,{},Darrell K Royal-Texas Memorial Stadium,30.2837,-97.7324,America/Chicago
cfb-texas-am,CFB,Texas A&M Aggies,TAMU,SEC,,{},Kyle Field,30.6100,-96.3400,America/Chicago
cfb-vanderbilt,CFB,Vanderbilt Commodores,VAN,SEC,,{},FirstBank Stadium,36.1440,-86.8090,America/Chicago
cfb-illinois,CFB,Illinois Fighting Illini,ILL,Big Ten,,{},Memorial Stadium,40.0992,-88.2358,America/Chicago
cfb-indiana,CFB,Indiana Hoosiers,IU,Big Ten,,{},Memorial Stadium,39.1810,-86.5260,America/Indiana/Indianapolis
cfb-iowa,CFB,Iowa Hawkeyes,IOWA,Big Ten,,{},Kinnick Stadium,41.6586,-91.5511,America/Chicago
cfb-maryland,CFB,Maryland Terrapins,MD,Big Ten,,{},SECU Stadium,38.9903,-76.9474,America/New_York
cfb-michigan,CFB,Michigan Wolverines,MICH,Big Ten,,{},Michigan Stadium,42.2658,-83.7487,America/Detroit
cfb-michigan-state,CFB,Michigan State Spartans,MSU,Big Ten,,{},Spartan Stadium,42.7281,-84.4848,America/Detroit
cfb-minnesota,CFB,Minnesota Golden Gophers,MINN,Big Ten,,{},Huntington Bank Stadium,44.9765,-93.2245,America/Chicago
cfb-nebraska,CFB,Nebraska Cornhuskers,NEB,Big Ten,,{},Memorial Stadium,40.8206,-96.7056,America/Chicago
cfb-northwestern,CFB,Northwestern Wildcats,NW,Big Ten,,{},Ryan Field,42.0655,-87.6924,America/Chicago
cfb-ohio-state,CFB,Ohio State Buckeyes,OSU,Big Ten,,{},Ohio Stadium,40.0017,-83.0197,America/New_York
cfb-oregon,CFB,Oregon Ducks,ORE,Big Ten,,{},Autzen Stadium,44.0583,-123.0684,America/Los_Angeles
cfb-penn-state,CFB,Penn State Nittany Lions,PSU,Big Ten,,{},Beaver Stadium,40.8122,-77.8560,America/New_York
cfb-purdue,CFB,Purdue Boilermakers,PUR,Big Ten,,{},Ross-Ade Stadium,40.4353,-86.9188,America/Indiana/Indianapolis
cfb-rutgers,CFB,Rutgers Scarlet Knights,RUTG,Big Ten,,{},SHI Stadium,40.5140,-74.4648,America/New_York
cfb-ucla,CFB,UCLA Bruins,UCLA,Big Ten,,{},Rose Bowl,34.1613,-118.1676,America/Los_Angeles
cfb-usc,CFB,USC Trojans,USC,Big Ten,,{},Los Angeles Memorial Coliseum,34.0141,-118.2879,America/Los_Angeles
cfb-washington,CFB,Washington Huskies,WASH,Big Ten,,{},Husky Stadium,47.6503,-122.3016,America/Los_Angeles
cfb-wisconsin,CFB,Wisconsin Badgers,WIS,Big Ten,,{},Camp Randall Stadium,43.0700,-89.4127,America/Chicago
cfb-boston-college,CFB,Boston College Eagles,BC,ACC,,{},Alumni Stadium,42.3350,-71.1665,America/New_York
cfb-california,CFB,California Golden Bears,CAL,ACC,,{},California Memorial Stadium,37.8712,-122.2508,America/Los_Angeles
cfb-clemson,CFB,Clemson Tigers,CLEM,ACC,,{},Memorial Stadium,34.6786,-82.8432,America/New_York
cfb-duke,CFB,Duke Blue Devils,DUKE,ACC,,{},Wallace Wade Stadium,35.9952,-78.9421,America/New_York
cfb-florida-state,CFB,Florida State Seminoles,FSU,ACC,,{},Doak Campbell Stadium,30.4382,-84.3044,America/New_York
cfb-georgia-tech,CFB,Georgia Tech Yellow Jackets,GT,ACC,,{},Bobby Dodd Stadium,33.7725,-84.3928,America/New_York
cfb-louisville,CFB,Louisville Cardinals,LOU,ACC,,{},L&N Federal Credit Union Stadium,38.2058,-85.7585,America/Kentucky/Louisville
cfb-miami,CFB,Miami Hurricanes,MIA,ACC,,{},Hard Rock Stadium,25.9580,-80.2389,America/New_York
cfb-nc-state,CFB,NC State Wolfpack,NCST,ACC,,{},Carter-Finley Stadium,35.8003,-78.7190,America/New_York
cfb-north-carolina,CFB,North Carolina Tar Heels,UNC,ACC,,{},Kenan Memorial Stadium,35.9070,-79.0479,America/New_York
cfb-pittsburgh,CFB,Pittsburgh Panthers,PITT,ACC,,{},Acrisure Stadium,40.4468,-80.0158,America/New_York
cfb-smu,CFB,SMU Mustangs,SMU,ACC,,{},Gerald J. Ford Stadium,32.8360,-96.7844,America/Chicago
cfb-stanford,CFB,Stanford Cardinal,STAN,ACC,,{},Stanford Stadium,37.4344,-122.1610,America/Los_Angeles
cfb-syracuse,CFB,Syracuse Orange,SYR,ACC,,{},JMA Wireless Dome,43.0361,-76.1363,America/New_York
cfb-virginia,CFB,Virginia Cavaliers,UVA,ACC,,{},Scott Stadium,38.0312,-78.5138,America/New_York
cfb-virginia-tech,CFB,Virginia Tech Hokies,VT,ACC,,{},Lane Stadium,37.2200,-80.4181,America/New_York
cfb-wake-forest,CFB,Wake Forest Demon Deacons,WAKE,ACC,,{},Allegacy Federal Credit Union Stadium,36.1305,-80.2554,America/New_York
cfb-arizona,CFB,Arizona Wildcats,ARIZ,Big 12,,{},Arizona Stadium,32.2288,-110.9488,America/Phoenix
cfb-arizona-state,CFB,Arizona State Sun Devils,ASU,Big 12,,{},Mountain America Stadium,33.4264,-111.9325,America/Phoenix
cfb-baylor,CFB,Baylor Bears,BAY,Big 12,,{},McLane Stadium,31.5588,-97.1155,America/Chicago
cfb-byu,CFB,BYU Cougars,BYU,Big 12,,{},LaVell Edwards Stadium,40.2582,-111.6544,America/Denver
cfb-cincinnati,CFB,Cincinnati Bearcats,CIN,Big 12,,{},Nippert Stadium,39.1312,-84.5163,America/New_York
cfb-colorado,CFB,Colorado Buffaloes,COLO,Big 12,,{},Folsom Field,40.0094,-105.2669,America/Denver
cfb-houston,CFB,Houston Cougars,HOU,Big 12,,{},TDECU Stadium,29.7222,-95.3494,America/Chicago
cfb-iowa-state,CFB,Iowa State Cyclones,ISU,Big 12,,{},Jack Trice Stadium,42.0140,-93.6357,America/Chicago
cfb-kansas,CFB,Kansas Jayhawks,KU,Big 12,,{},David Booth Kansas Memorial Stadium,38.9628,-95.2467,America/Chicago
cfb-kansas-state,CFB,Kansas State Wildcats,KSU,Big 12,,{},Bill Snyder Family Stadium,39.2020,-96.5939,America/Chicago
cfb-oklahoma-state,CFB,Oklahoma State Cowboys,OKST,Big 12,,{},Boone Pickens Stadium,36.1257,-97.0665,America/Chicago
cfb-tcu,CFB,TCU Horned Frogs,TCU,Big 12,,{},Amon G. Carter Stadium,32.7100,-97.3680,America/Chicago
cfb-texas-tech,CFB,Texas Tech Red Raiders,TTU,Big 12,,{},Jones AT&T Stadium,33.5910,-101.8727,America/Chicago
cfb-ucf,CFB,UCF Knights,UCF,Big 12,,{},FBC Mortgage Stadium,28.6082,-81.1926,America/New_York
cfb-utah,CFB,Utah Utes,UTAH,Big 12,,{},Rice-Eccles Stadium,40.7601,-111.8489,America/Denver
cfb-west-virginia,CFB,West Virginia Mountaineers,WVU,Big 12,,{},Milan Puskar Stadium,39.6489,-79.9545,America/New_York
cfb-boise-state,CFB,Boise State Broncos,BSU,Pac-12,,{},Albertsons Stadium,43.6028,-116.1957,America/Boise
